I	J	Score	Match	NoMatch
127	78	2.42563e+10	26212.4	775261
189	75	1.65974e+10	48106.9	487158
52	144	1.25779e+10	17878.8	373140
156	69	1.63879e+10	36861.8	431703
84	100	7.62533e+08	51136.4	262586
142	60	1.55635e+10	96995.7	435282
30	194	1.31441e+10	40374.6	509054
21	30	5.58438e+09	102958	735092
67	126	1.0206e+10	52149.2	295754
85	102	3.779e+09	54782.3	525261
159	130	2.14965e+09	50533.4	356612
92	199	1.08873e+10	37178.6	417399
112	198	8.94757e+09	25058.5	300172
191	144	3.75538e+09	10378.6	276734
61	142	2.03041e+10	92430.7	712127
189	199	1.77534e+09	139940	423882
84	72	9.04527e+08	39791.9	283407
193	89	1.53021e+10	28320.9	617901
68	40	1.25547e+10	81462.9	1.26679e+06
165	21	2.25907e+10	144386	828062
52	5	3.14405e+09	65923.4	458480
207	61	2.39499e+10	73100.2	1.00141e+06
30	36	1.62651e+09	94482.9	420086
78	120	1.58105e+10	32340	422154
67	210	1.16997e+10	32317.3	392046
92	126	1.18631e+10	49407.6	353608
84	109	8.10511e+08	34547.2	262247
189	126	6.36838e+09	90545.2	421715
191	5	1.14126e+10	33779.7	386718
159	105	9.47011e+09	42844.8	296821
104	145	1.99344e+10	22196.9	522227
156	166	2.91579e+09	72262.5	418227
40	127	3.03031e+10	25692.2	1.05585e+06
142	154	3.03642e+09	15644.6	336724
84	8	2.87405e+09	18677.2	329405
83	86	2.63151e+09	74519.9	460388
52	194	1.08579e+10	49244.5	470397
92	210	1.25227e+10	16817.8	462658
189	210	2.00859e+09	92290.4	496430
62	104	7.95315e+09	36546.1	912920
67	130	1.44376e+10	41255.1	372030
191	194	1.36494e+09	72862.6	342873
30	75	3.34547e+09	72766.9	408243
159	29	1.21562e+10	23639.4	353193
112	0	2.47021e+09	10800.4	304084
85	145	1.96242e+10	17584.6	541846
195	84	2.10426e+10	30639.4	687857
84	20	2.3576e+09	38781.5	319136
192	62	3.12702e+10	120332	1.16212e+06
92	130	1.62995e+10	36173.1	432225
189	130	5.77901e+09	32141.2	545502
193	73	1.67512e+10	60880	576649
143	162	4.55057e+09	145481	916841
162	92	2.49615e+10	29605.2	748255
52	36	1.90477e+09	57532.5	427250
67	105	1.02784e+09	51937.2	293868
191	36	9.77652e+09	13263.7	367613
78	198	1.30511e+10	61168.4	473570
21	67	6.82891e+09	67212.4	660735
156	60	1.871e+10	90708	442011
159	100	1.20318e+10	19430.1	310249
84	167	1.17169e+10	33031.5	302190
30	199	1.10481e+10	40965.8	468602
142	96	1.42568e+10	42388.2	434943
104	133	1.82578e+10	67521.2	463746
189	105	1.25596e+10	57554.3	452609
92	105	1.07634e+09	82915.5	318003
131	193	1.05713e+10	113021	795205
128	195	8.28702e+09	134355	885734
127	112	2.0019e+10	26580.2	565385
84	150	1.00707e+10	33660	297966
6	165	3.25511e+10	134110	1.25078e+06
67	29	2.48519e+09	11808.8	371164
191	75	1.07415e+10	12856	334461
163	6	5.34899e+10	52435.4	1.7425e+06
52	75	4.12437e+09	21077.3	430146
61	191	1.79255e+10	27620.9	712162
159	72	1.22611e+10	39389.8	299765
85	133	1.86052e+10	29328.6	516945
189	29	1.37003e+10	47956.2	499374
112	174	1.08208e+10	47573.7	245551
83	87	1.18027e+09	121025	423853
