"stratum","target_region","mean_L","mean_R","n_L","n_R","LI","p_wilcox","p_BH","significant","abs_LI","direction","receipt_class"
"region_IAL","Iam/Iapm@L6",0.0274186474393361,0.0063884478616029,21,117,0.622064485868569,0.00708992806547037,0.0652273382023274,FALSE,0.622064485868569,"L > R","bilateral_receiving"
"region_IAL","Ia/Id@L6",0.0178812450609034,0.0355009180053601,21,117,-0.330066610862495,0.641159716408222,0.77032211612796,FALSE,0.330066610862495,"R > L","bilateral_receiving"
"region_IAL","Ig@L6",0,0.000295655048560652,21,117,-0.999966177943424,0.686591451331442,0.77032211612796,FALSE,0.999966177943424,"R > L","one_side_only_or_extreme"
"region_IAL","Pi@L6",0.00556807217945454,0.00200098836655814,21,117,0.471271048566923,0.128584210077682,0.369679603973337,FALSE,0.471271048566923,"L > R","bilateral_receiving"
"region_IAL","Ri@L6",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IDD5","caudal_OFC@L3",0.011928138869673,0,34,36,0.999999161646949,0.0367533836933189,0.27973226095598,FALSE,0.999999161646949,"L > R","one_side_only_or_extreme"
"region_IDD5","Str@L3",0.0362689278770498,0.0366973311661664,34,36,-0.00587125112376115,0.787023414636842,0.905076926832369,FALSE,0.00587125112376115,"R > L","bilateral_receiving"
"region_IDD5","spAmy@L3",0.00888635451555064,0,34,36,0.999998874680418,0.0367533836933189,0.27973226095598,FALSE,0.999998874680418,"L > R","one_side_only_or_extreme"
"region_IDD5","Pd@L3",0.00142762924730799,0.00491834826375978,34,36,-0.550067110967958,1,1,FALSE,0.550067110967958,"R > L","bilateral_receiving"
"region_IDD5","floor_of_ls@L3",0.309890740070919,0.356532756315376,34,36,-0.0699885520205831,0.141664307611287,0.454160659366852,FALSE,0.0699885520205831,"R > L","bilateral_receiving"
"region_IDD5","LPal@L3",0.0549967724710418,0.00934536245386215,34,36,0.709510229577535,0.000684146737903735,0.0104902499811906,TRUE,0.709510229577535,"L > R","bilateral_receiving"
"region_IDD5","THy@L3",0,0,34,36,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IDD5","ZI-H@L3",0.0101780361073146,0,34,36,0.999999017493152,0.148355778914955,0.454160659366852,FALSE,0.999999017493152,"L > R","one_side_only_or_extreme"
"region_IDD5","VMed@L3",0,0,34,36,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IDD5","pAmy@L3",0.00136420995248724,0.00516369368775341,34,36,-0.582036458301876,1,1,FALSE,0.582036458301876,"R > L","bilateral_receiving"
"region_IDD5","M1/PM@L3",0.0107744808729411,0.014030805548273,34,36,-0.131275378452924,0.980692273559104,1,FALSE,0.131275378452924,"R > L","bilateral_receiving"
"region_IDD5","lat_OFC@L3",0.00246922516006693,0,34,36,0.999995950162965,0.317112900084624,0.454160659366852,FALSE,0.999995950162965,"L > R","one_side_only_or_extreme"
"region_IDD5","vlPFC@L3",0.0175059706776781,0.00494583974116138,34,36,0.559425948640557,0.0902518668091801,0.417883014480051,FALSE,0.559425948640557,"L > R","bilateral_receiving"
"region_IDD5","MThal@L3",0.00112192924540027,0,34,36,0.999991086861396,0.317112900084624,0.454160659366852,FALSE,0.999991086861396,"L > R","one_side_only_or_extreme"
"region_IDD5","MLThal@L3",0,0,34,36,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IDD5","Rh@L3",0,0.0207074434862173,34,36,-0.999999517082098,0.0486490888619095,0.27973226095598,FALSE,0.999999517082098,"R > L","one_side_only_or_extreme"
"region_IDD5","STSf@L3",0,0.0239691075952069,34,36,-0.99999958279649,0.0486490888619095,0.27973226095598,FALSE,0.99999958279649,"R > L","one_side_only_or_extreme"
