"stratum","target","hier","target_id","family","n_L","n_R","frac_L","frac_R","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","best_q","direction"
"IDD5_plus_IDM_balanced","lat_OFC","L3","lat_OFC@L3","extra_insula",81,68,0.037037037037037,0,0.00531458029016195,0,0.037037037037037,0.250680210411754,0.111860278967731,0.543140455892134,0.302022753212874,0.302022753212874,"L>R"
"IDD5_plus_IDM_balanced","GThal","L3","GThal@L3","extra_insula",81,68,0.037037037037037,0,0.00386684985805962,0,0.037037037037037,0.250680210411754,0.111860278967731,0.543140455892134,0.302022753212874,0.302022753212874,"L>R"
"all_combined","VMid","L3","VMid@L3","extra_insula",121,185,0.00826446280991736,0.027027027027027,0.000876725192943991,0.00272043434607189,-0.0187178914451642,0.408551082650286,0.250159179228614,0.472387189314393,0.308529654381957,0.308529654381957,"R>L"
"all_combined","Rh","L3","Rh@L3","extra_insula",121,185,0.0743801652892562,0.0432432432432432,0.00902787250943039,0.00960944195350697,0.029260665624302,0.308551475857311,0.276361491710247,0.380546820224017,0.329850812686424,0.329850812686424,"R>L"
"IDM_balanced","LPal","L3","LPal@L3","extra_insula",47,32,0.212765957446809,0.09375,0.0380030613472969,0.0236812049178857,0.111037234042553,0.221533858062894,0.199242296950225,0.476035919073894,0.338711904815382,0.338711904815382,"L>R"
"IDD5_plus_IDM_balanced","ZI-H","L3","ZI-H@L3","extra_insula",81,68,0.0617283950617284,0.0147058823529412,0.0159949990602358,0.00069480714199187,0.0479302832244009,0.220079409347585,0.141186290029615,0.543140455892134,0.345794341120163,0.345794341120163,"L>R"
"IDD5_plus_IDM_balanced","PThal","L3","PThal@L3","extra_insula",81,68,0.0617283950617284,0.0147058823529412,0.0182759162332806,0.00511950222636279,0.046477850399419,0.220079409347585,0.153686373831184,0.543140455892134,0.345794341120163,0.345794341120163,"L>R"
"IDD5_plus_IDM_balanced","pAmy","L3","pAmy@L3","extra_insula",81,68,0.037037037037037,0.0882352941176471,0.00148519541247146,0.018174862994073,-0.0544662309368192,0.301355143685493,0.167622546806688,0.568450870755202,0.348139135675429,0.348139135675429,"R>L"
"all_combined","DSP","L3","DSP@L3","extra_insula",121,185,0.0495867768595041,0.027027027027027,0.00301319924708967,0.00273015182986561,0.0218449854813491,0.353365758399837,0.317435710397585,0.421759130993354,0.367035040147208,0.367035040147208,"L>R"
"IDD5_plus_IDM_balanced","floor_of_ls","L3","floor_of_ls@L3","extra_insula",81,68,1,1,0.648351104591075,0.707710916822292,-0.10838779956427,NA,0.236588743231497,NA,0.390468547496438,0.390468547496438,"R>L"
"IDD5_plus_IDM_balanced","SII","L3","SII@L3","extra_insula",81,68,0.172839506172839,0.25,0.0301780794232099,0.0488030253162348,-0.0847857661583152,0.311753119689383,0.210699091197362,0.568450870755202,0.390468547496438,0.390468547496438,"R>L"
"IDD5_plus_IDM_balanced","STGc","L3","STGc@L3","extra_insula",81,68,0.0493827160493827,0.0147058823529412,0.00825780660438174,0.00235793511847844,0.0346768336964415,0.376206928184233,0.245850566942202,0.568450870755202,0.390468547496438,0.390468547496438,"L>R"
"IDD5_plus_IDM_balanced","SI","L3","SI@L3","extra_insula",81,68,0.0123456790123457,0.0441176470588235,0.00087906451672602,0.0142476382111326,-0.032316630355846,0.331517275278029,0.22835769830401,0.568450870755202,0.390468547496438,0.390468547496438,"R>L"
"IDD5_plus_IDM_balanced","STSf","L3","STSf@L3","extra_insula",81,68,0.0246913580246914,0.0588235294117647,0.00221509394732712,0.0176683194560176,-0.0355846042120552,0.412325981049427,0.275293617375655,0.568450870755202,0.412940426063483,0.412940426063483,"R>L"
"all_combined","Pd","L3","Pd@L3","extra_insula",121,185,0.0578512396694215,0.0810810810810811,0.00387900514091783,0.0124235899187763,-0.026937681483136,0.503971986592324,0.37445004770697,0.565059500118666,0.419837932277512,0.419837932277512,"R>L"
"IDD5_plus_IDM_balanced","area_7_in_IPL","L3","area_7_in_IPL@L3","extra_insula",81,68,0.123456790123457,0.0735294117647059,0.0257468699961732,0.0156119863312249,0.0502904865649964,0.415406405551879,0.313817859542235,0.568450870755202,0.427429865866106,0.427429865866106,"L>R"
"IDD5_plus_IDM_balanced","TG","L3","TG@L3","extra_insula",81,68,0.0246913580246914,0.0588235294117647,0.00847658329957016,0.00781776640730777,-0.0326797385620915,0.412325981049427,0.316614715456374,0.568450870755202,0.427429865866106,0.427429865866106,"L>R"
"IDD5_plus_IDM_balanced","spAmy","L3","spAmy@L3","extra_insula",81,68,0.0617283950617284,0.0294117647058824,0.00620807536872878,0.00325559712822915,0.032316630355846,0.454808440250674,0.357614835432562,0.591250972325876,0.459790502699008,0.459790502699008,"L>R"
"IDD5_plus_IDM_balanced","STGr/STSd","L3","STGr/STSd@L3","extra_insula",81,68,0.037037037037037,0.0147058823529412,0.00511940187526159,0.0015689078267934,0.0221496005809731,0.62572415691054,0.410232971814412,0.739492185439729,0.50346773813587,0.50346773813587,"L>R"
"IDM_balanced","Pi","L6","Pi@L6","intra_insula",47,32,0.106382978723404,0.0625,0.021069635379738,0.0108755844217052,0.0438829787234043,0.694803185444128,0.51026001620642,0.694803185444128,0.51026001620642,0.51026001620642,"L>R"
"IDM_balanced","SII","L3","SII@L3","extra_insula",47,32,0.0638297872340425,0.125,0.00944222120009576,0.013828274752265,-0.0598404255319149,0.432333924926078,0.367297793820731,0.691734279881725,0.520338541246036,0.520338541246036,"R>L"
"IDM_balanced","spAmy","L3","spAmy@L3","extra_insula",47,32,0.0212765957446809,0.0625,0.00214125181361563,0.00691814389748695,-0.0412234042553191,0.562564018260221,0.357681749635524,0.794060783364718,0.520338541246036,0.520338541246036,"R>L"
"IDD5_plus_IDM_balanced","VMid","L3","VMid@L3","extra_insula",81,68,0.0123456790123457,0.0294117647058824,0.00130967590550892,0.00313309345594649,-0.0170660856935367,0.592206917230886,0.466385974541348,0.733208564190621,0.547496578809408,0.547496578809408,"R>L"
"IDM_balanced","Str","L3","Str@L3","extra_insula",47,32,0.170212765957447,0.125,0.0472201043124237,0.0368380310934093,0.0452127659574468,0.752686469628934,0.592164432128472,0.802865567604197,0.631416655278837,0.631416655278837,"L>R"
"IDM_balanced","caudal_OFC","L3","caudal_OFC@L3","extra_insula",47,32,0.106382978723404,0.0625,0.023587092209074,0.0184009466465083,0.0412234042553191,0.694803185444128,0.536632076458953,0.794060783364718,0.631416655278837,0.631416655278837,"L>R"
"IDM_balanced","ZI-H","L3","ZI-H@L3","extra_insula",47,32,0.0638297872340425,0.03125,0.0147459464697218,0.00147646517673272,0.0345744680851064,0.64314433068597,0.502685706420355,0.794060783364718,0.631416655278837,0.631416655278837,"L>R"
"IDM_balanced","M1/PM","L3","M1/PM@L3","extra_insula",47,32,0.0638297872340425,0.09375,0.0066933253425582,0.0133727968352508,-0.0332446808510638,0.681723321963162,0.594274499085964,0.794060783364718,0.631416655278837,0.631416655278837,"R>L"
"all_combined","Iai","L6","Iai@L6","intra_insula",121,185,0.28099173553719,0.302702702702703,0.0523138533421059,0.0592809287181878,-0.0234085324994416,0.702347252988986,0.667797629561515,0.702347252988986,0.667797629561515,0.667797629561515,"R>L"
"IDD5_plus_IDM_balanced","Ial","L6","Ial@L6","intra_insula",81,68,0.0246913580246914,0.0147058823529412,0.0020481600107796,0.00215713240023956,0.00962236746550472,1,0.683815793890953,1,0.683815793890953,0.683815793890953,"R>L"
"IDD5_plus_IDM_balanced","Str","L3","Str@L3","extra_insula",81,68,0.197530864197531,0.161764705882353,0.0490487680571938,0.0457501926197107,0.0314088598402324,0.67111604585629,0.625548967929129,0.758652921402763,0.70374258892027,0.70374258892027,"L>R"
"IDD5_plus_IDM_balanced","DSP","L3","DSP@L3","extra_insula",81,68,0.0246913580246914,0.0147058823529412,0.0014344686708276,0.000670836010744056,0.00998547567175018,1,0.672349540423142,1,0.726137503656994,0.726137503656994,"L>R"
"all_combined","TE","L3","TE@L3","extra_insula",121,185,0.0247933884297521,0.0324324324324324,0.00136047258123745,0.0057464091473259,-0.00844315389769935,1,0.671280776804698,1,0.730511433581584,0.730511433581584,"R>L"
"IDD5_plus_IDM_balanced","M1/PM","L3","M1/PM@L3","extra_insula",81,68,0.0740740740740741,0.0882352941176471,0.0105481424546084,0.0159948337655396,-0.0152505446623094,0.771495709835526,0.737502983198918,0.835787018988487,0.765868482552723,0.765868482552723,"R>L"
"IDM_balanced","TG","L3","TG@L3","extra_insula",47,32,0.0425531914893617,0.03125,0.0146085797290465,0.00399733262580147,0.0126329787234043,1,0.786072734071289,1,0.786072734071289,0.786072734071289,"L>R"
"IDD5_plus_IDM_balanced","Pd","L3","Pd@L3","extra_insula",81,68,0.037037037037037,0.0441176470588235,0.00143795387817733,0.00611584739019551,-0.00871459694989107,1,0.792590954219485,1,0.792590954219485,0.792590954219485,"R>L"
"IDD5_balanced","floor_of_ls","L3","floor_of_ls@L3","extra_insula",34,36,1,1,0.599291393508428,0.633240884331442,-0.0866013071895425,NA,0.528876313487942,NA,0.822532297270583,0.822532297270583,"R>L"
"IDD5_balanced","SII","L3","SII@L3","extra_insula",34,36,0.323529411764706,0.361111111111111,0.0588423540257501,0.0798916924842081,-0.0743464052287582,0.804375209571197,0.532106648148909,1,0.822532297270583,0.822532297270583,"R>L"
"IDD5_balanced","PThal","L3","PThal@L3","extra_insula",34,36,0.0588235294117647,0.0277777777777778,0.0205019106474714,0.0096701708720186,0.0310457516339869,0.608695652173913,0.535612583635126,1,0.822532297270583,0.822532297270583,"L>R"
"IDD5_balanced","SI","L3","SI@L3","extra_insula",34,36,0.0294117647058824,0.0555555555555556,0.00209424193690611,0.0192962298400335,-0.0277777777777778,1,0.58061103336747,1,0.822532297270583,0.822532297270583,"R>L"
"IDD5_balanced","area_7_in_IPL","L3","area_7_in_IPL@L3","extra_insula",34,36,0.176470588235294,0.138888888888889,0.0365710134488699,0.0294893075145359,0.0392156862745098,0.749526723529128,0.662887819027417,1,0.866853301805084,0.866853301805084,"L>R"
"all_combined","MLThal","L3","MLThal@L3","extra_insula",121,185,0.00826446280991736,0.0108108108108108,0.00404059528855401,0.00354815625614604,-0.00245700245700246,1,0.83439914642817,1,0.882079097652636,0.882079097652636,"L>R"
"all_combined","SII","L3","SII@L3","extra_insula",121,185,0.12396694214876,0.124324324324324,0.0209544653316978,0.0258013259668619,-0.00433325887871342,1,0.911840928702941,1,0.937169843389134,0.937169843389134,"R>L"
"IDD5_balanced","Str","L3","Str@L3","extra_insula",34,36,0.235294117647059,0.194444444444444,0.0515766267631994,0.053672113976423,0.0277777777777778,0.774368169612147,0.787023414636842,1,0.95567128920188,0.95567128920188,"R>L"
