"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"251637::488.swc",251637,"IAL","L",211.3288,77.9808,53.827,0,FALSE,-1
"251637::489.swc",251637,"IAL","L",211.884,74.7048,179.491000000001,0,FALSE,-1
"251637::490.swc",251637,"IAPM","L",212.5584,82.2552,2434.70699999999,0,FALSE,-1
"251637::491.swc",251637,"IAPM","L",212.4096,81.4928,325.129000000002,0,FALSE,-1
"251637::492.swc",251637,"IAPM","L",211.998,81.354,350.384999999999,0,FALSE,-1
"251637::493.swc",251637,"IAPM","L",210.7472,80.426,645.442000000006,0,FALSE,-1
"251637::494.swc",251637,"IAPM","L",211.5472,80.8568,87.7979999999999,0,FALSE,-1
"252383::018.swc",252383,"IDD5","R",152.656,185.9445,346.253999999999,0,FALSE,-1
"252383::019.swc",252383,"IDD5","R",151.339,186.0838,169.469,0,FALSE,-1
"252383::091.swc",252383,"IDD5","L",162.881,56.563,285.439000000003,0,FALSE,-1
"252383::122.swc",252383,"IDD5","R",164.712,196.6678,66.7849999999999,0,FALSE,-1
"252383::125.swc",252383,"IDD5","R",167.47,197.183,325.942000000003,0,FALSE,-1
"252384::048.swc",252384,"IAL","L",205.632,75.181,341.476000000001,0,FALSE,-1
"252384::049.swc",252384,"IAL","L",205.908,75.132,655.363999999998,0,FALSE,-1
"252384::053.swc",252384,"IAL","L",203.608,73.315,218.406,0,FALSE,-1
"252384::077.swc",252384,"IAL","R",208.983,183.3069,97.7090000000006,0,FALSE,-1
"252384::079.swc",252384,"IAL","R",209.9,184.9936,106.025000000001,0,FALSE,-1
"252385::025.swc",252385,"IDM","L",190.706,58.901,334.881000000002,0,FALSE,-1
"252385::026.swc",252385,"IDM","L",188.714,55.118,2274.38299999999,0,FALSE,-1
"252385::027.swc",252385,"IDM","L",187.365,55.691,1965.51199999998,0,FALSE,-1
"252385::036.swc",252385,"IAL","L",209.919,75.435,2013.36699999999,0,FALSE,-1
"252385::037.swc",252385,"IAL","L",209.287,75.145,272.205999999999,0,FALSE,-1
