"target","side","ap","prop","Region"
"Ig","R",151.353,0.427466608795155,"IDD5"
"Ig","R",151.55,0.398830054358323,"IDD5"
"Ig","all",213.8664,0,"IAL"
"Ig","all",213.9036,0,"IAL"
"Ig","all",215.7856,0,"IAL"
"Ig","all",216.6584,0,"IAL"
"Ig","all",216.3672,0,"IAL"
"Ig","all",216.0444,0,"IAL"
"Ig","all",216.3204,0,"IAL"
"Ig","all",215.7388,0,"IAL"
"Ig","all",216.3748,0,"IAL"
"Ig","all",217.6472,0,"IAL"
"Ig","all",217.4992,0,"IAL"
"Ig","all",217.4512,0,"IAL"
"Ig","all",216.86,0.0284005689164727,"IAL"
"Ig","all",216.0316,0,"IAL"
"Ig","all",216.1528,0,"IAL"
"Ig","all",216.88,0,"IAL"
"Ig","all",216.5864,0,"IAL"
"Ig","all",215.1964,0,"IAL"
"Ig","all",214.6016,0,"IAL"
"Ig","all",214.9016,0,"IAL"
"Ig","all",215.5436,0,"IAL"
"Ig","all",215.4492,0,"IAL"
"Ig","all",217.4524,0,"IAL"
"Ig","all",217.6764,0,"IAL"
"Ig","all",218.6192,0,"IAL"
"Ig","all",218.7924,0,"IAL"
"Ig","all",217.7156,0,"IAL"
"Ig","all",216.6076,0,"IAL"
"Ig","all",216.4336,0,"IAL"
"Ig","all",214.8928,0,"IAL"
"Ig","all",214.958,0,"IAL"
"Ig","all",216.9168,0,"IAL"
"Ig","all",216.4576,0,"IAL"
"Ig","all",215.7588,0,"IAL"
"Ig","all",217.0748,0,"IAL"
"Ig","all",216.6168,0,"IAL"
"Ig","all",217.5376,0,"IAL"
"Ig","all",217.1596,0,"IAL"
"Ig","all",216.3524,0,"IAL"
"Ig","all",218.4772,0,"IAL"
